sn,cmn_hans,cmn_hant,cnh,ctd,eng,flm,hlt,jpn,lus,mya,njo
2,0.9166666666666666,1.0,19.805555555555557,,,17.97222222222222,19.38888888888889,0.6111111111111112,,20.75,0.8055555555555556
3,,,,,,,,,,,
4,,1.0,4.276595744680851,7.808510638297872,6.680851063829787,12.063829787234043,3.851063829787234,1.425531914893617,6.425531914893617,4.382978723404255,1.8085106382978724
5,0.6103896103896104,1.0,4.2727272727272725,2.831168831168831,2.5064935064935066,3.220779220779221,5.337662337662338,1.1168831168831168,2.779220779220779,6.337662337662338,3.831168831168831
6,1.925,1.0,5.925,2.175,2.225,2.575,5.875,1.7,2.825,6.45,3.75
7,2.2222222222222223,1.0,4.833333333333333,18.72222222222222,16.333333333333332,15.666666666666666,5.833333333333333,6.944444444444445,18.11111111111111,26.27777777777778,1.5
8,0.25,1.0,4.041666666666667,3.0694444444444446,2.6944444444444446,3.2222222222222223,3.763888888888889,0.7361111111111112,1.6666666666666667,3.5416666666666665,1.9166666666666667
9,2.0,1.0,6.638888888888889,3.3333333333333335,3.611111111111111,0.3055555555555556,5.611111111111111,1.2777777777777777,3.0277777777777777,0.2777777777777778,3.0833333333333335
10,1.0285714285714285,1.0,0.17142857142857143,0.14285714285714285,0.42857142857142855,0.7714285714285715,0.2571428571428571,0.4,17.2,0.45714285714285713,6.714285714285714
11,7.0,1.0,8.0,5.4,4.0,110.6,3.6,34.0,,140.2,23.0
12,46.0,1.0,200.66666666666666,1.0,184.66666666666666,,175.0,,70.33333333333333,,9.666666666666666
13,,1.0,,0.23076923076923078,,1.7384615384615385,0.06153846153846154,0.6538461538461539,,2.0153846153846153,0.8923076923076924
14,,,,,,,,,,,
15,,1.0,,12.581395348837209,,9.790697674418604,5.790697674418604,2.6744186046511627,4.790697674418604,12.813953488372093,
16,,,,,,,,,,,
17,1.1285714285714286,1.0,6.5,3.157142857142857,3.7857142857142856,,4.4714285714285715,,,,2.7142857142857144
18,,,,,,,,,,,
19,1.0,1.0,6.176470588235294,21.941176470588236,3.9411764705882355,,,,,,6.588235294117647
20,,,,,,,,,,,
21,1.0,1.0,6.771428571428571,,3.2285714285714286,,,,,,4.428571428571429
22,,,,,,,,,,,
23,1.0,1.0,3.59375,,2.96875,,,,,,8.875
24,,,,,,,,,,,
25,1.0,1.0,4.1,,3.8,,,,,,8.95
26,,,,,,,,,,,
27,1.0,1.0,4.661971830985915,,3.5492957746478875,,,,,,2.535211267605634
28,,,,,,,,,,,
29,1.0,1.0,5.729166666666667,,3.4583333333333335,,,,3.625,,
30,,,,,,,,,,,
31,1.0,1.0,5.555555555555555,,3.6666666666666665,,,,11.277777777777779,,
32,,,,,,,,,,,
33,1.0,1.0,4.517241379310345,,3.4310344827586206,,,,,,
34,,,,,,,,,,,
35,1.0,1.0,6.521739130434782,,4.260869565217392,5.978260869565218,,1.8695652173913044,,5.717391304347826,
36,1.0,1.0,4.317460317460317,3.5714285714285716,4.968253968253968,,4.523809523809524,,1.5238095238095237,,0.8571428571428571
37,,,,,,,,,,,
38,1.0,1.0,5.932203389830509,2.9322033898305087,4.033898305084746,,,,,,3.3220338983050848
39,,,,,,,,,,,
40,1.0,1.0,5.9411764705882355,,5.470588235294118,7.176470588235294,,2.176470588235294,14.764705882352942,9.705882352941176,7.352941176470588
41,1.0,1.0,3.8620689655172415,9.931034482758621,3.206896551724138,,3.2413793103448274,,,,
42,,,,,,,,,,,
43,1.0,1.0,5.5,3.1818181818181817,3.9545454545454546,8.5,,2.6818181818181817,7.363636363636363,11.727272727272727,
44,1.0227272727272727,1.0,5.863636363636363,1.8409090909090908,4.0227272727272725,,2.5454545454545454,,,,3.590909090909091
45,,,,,,,,,,,
46,1.0,1.0,6.666666666666667,10.555555555555555,4.444444444444445,14.777777777777779,,4.888888888888889,9.777777777777779,16.666666666666668,18.0
47,1.0,1.0,5.37037037037037,5.851851851851852,3.814814814814815,,2.074074074074074,,4.481481481481482,,7.148148148148148
48,,,,,,,,,,,
49,0.9833333333333333,1.0,7.716666666666667,1.0666666666666667,3.7333333333333334,1.1833333333333333,,0.6333333333333333,1.5166666666666666,1.6333333333333333,3.066666666666667
50,0.9565217391304348,1.0,6.043478260869565,3.6956521739130435,4.0,6.304347826086956,14.478260869565217,1.8695652173913044,2.4782608695652173,6.956521739130435,
51,1.0,1.0,4.703703703703703,,4.407407407407407,,2.962962962962963,,,,2.259259259259259
52,,,,,,,,,,,
53,1.0,1.0,4.416666666666667,2.9583333333333335,3.4583333333333335,3.2083333333333335,,1.0833333333333333,,3.6666666666666665,
54,1.0,1.0,5.6923076923076925,8.76923076923077,4.076923076923077,,15.461538461538462,,17.53846153846154,,6.538461538461538
55,,,,,,,,,,,
56,1.0135135135135136,1.0,6.837837837837838,1.2297297297297298,3.972972972972973,,,,1.0810810810810811,,
57,,,,,,,,,,,
58,1.0,1.0,5.338461538461538,,3.4923076923076923,,,,,,1.6615384615384616
59,,,,,,,,,,,
60,1.0,1.0,4.823529411764706,,4.176470588235294,3.8823529411764706,,1.1764705882352942,6.411764705882353,3.3529411764705883,12.235294117647058
61,1.0,1.0,4.933333333333334,15.2,3.466666666666667,,6.2,,20.2,,4.466666666666667
62,,,,,,,,,,,
63,1.0,1.0,4.72,2.92,4.8,3.12,,1.08,13.28,3.76,
64,1.0,1.0,6.176470588235294,4.0588235294117645,4.235294117647059,17.176470588235293,8.0,7.647058823529412,,19.647058823529413,5.235294117647059
65,1.0,1.0,4.757142857142857,,3.6714285714285713,,1.2714285714285714,,3.085714285714286,,0.8428571428571429
66,,,,,,,,,,,
67,1.0,1.0,4.815217391304348,0.7065217391304348,3.7065217391304346,,,,2.0760869565217392,,2.119565217391304
68,,,,,,,,,,,
69,1.0,1.0,7.945945945945946,,3.864864864864865,1.972972972972973,,1.2702702702702702,,2.4324324324324325,4.243243243243243
70,1.0,1.0,5.555555555555555,22.555555555555557,4.444444444444445,11.944444444444445,12.555555555555555,4.944444444444445,7.944444444444445,15.555555555555555,
71,0.9508196721311475,1.0,4.508196721311475,,3.459016393442623,1.8360655737704918,1.0819672131147542,0.7213114754098361,,1.9180327868852458,1.180327868852459
72,1.0,1.0,5.190476190476191,7.619047619047619,4.380952380952381,,9.333333333333334,,21.857142857142858,,3.0
73,,,,,,,,,,,
74,1.0,1.0,5.638888888888889,6.25,3.4444444444444446,,,,,,2.9166666666666665
75,,,,,,,,,,,
76,1.0,1.0,5.242105263157895,,3.778947368421053,2.5894736842105264,,0.631578947368421,4.0,2.4526315789473685,1.3789473684210527
77,1.0,1.0,6.441860465116279,3.7674418604651163,3.6744186046511627,,12.069767441860465,,1.813953488372093,,
78,,,,,,,,,,,
79,1.0,1.0,5.52,6.72,4.053333333333334,6.453333333333333,,1.6533333333333333,2.0933333333333333,6.586666666666667,
80,1.0,1.0,6.586666666666667,3.1466666666666665,4.586666666666667,1.0133333333333334,2.6933333333333334,0.37333333333333335,1.5333333333333334,1.3466666666666667,1.44
81,1.0,1.0,5.84,,3.88,,15.56,,,,2.88
82,,,,,,,,,,,
83,1.0,1.0,11.11111111111111,12.38888888888889,4.388888888888889,5.611111111111111,,1.5,,6.361111111111111,2.7222222222222223
84,1.0,1.0,5.466666666666667,2.022222222222222,3.688888888888889,,4.4222222222222225,,2.7111111111111112,,
85,,,,,,,,,,,
86,1.0,1.0,6.75,4.454545454545454,3.227272727272727,,,,2.3181818181818183,,
87,,,,,,,,,,,
88,1.0,1.0,3.0833333333333335,,3.138888888888889,9.277777777777779,,3.361111111111111,7.75,11.722222222222221,3.5555555555555554
89,1.0,1.0,4.2444444444444445,1.7777777777777777,3.688888888888889,1.6555555555555554,1.1777777777777778,0.5111111111111111,,1.8666666666666667,
90,1.0,1.0,5.0,,3.411764705882353,,10.147058823529411,,,,9.823529411764707
91,,,,,,,,,,,
92,1.0,1.0,4.857142857142857,5.464285714285714,4.0,,,,,,1.625
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
97,,,,,,,,,,,
99,,,,,,,,,,,
100,,,,,,,,,,,
101,,,,,,,,,,,
103,,,,,,,,,,,
