sn,cmn_hans,cmn_hant,cnh,ctd,eng,flm,hlt,jpn,lus,mya,njo
1,1.0,1.0,8.333333333333334,9.666666666666666,6.166666666666667,8.666666666666666,7.666666666666667,1.3333333333333333,0.16666666666666666,7.0,9.5
2,,,,,,,,,,,
3,,1.0,4.5,,,6.5,6.0,2.0,,7.0,
4,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,1.0,,,,1.6666666666666667,2.3333333333333335,1.0,,2.6666666666666665,
15,,,,,,,,,,,
16,,1.0,,1.6666666666666667,,,2.3333333333333335,,36.333333333333336,,
17,,,,,,,,,,,
18,1.0,1.0,1.6666666666666667,1.6666666666666667,3.0,,,,,,
19,,,,,,,,,,,
20,1.0,1.0,1.6666666666666667,,3.0,,,,,,
21,,,,,,,,,,,
22,1.0,1.0,1.6666666666666667,,3.0,,,,,,
23,,,,,,,,,,,
24,1.0,1.0,1.6666666666666667,,3.0,,,,,,2.0
25,,,,,,,,,,,
26,1.0,1.0,1.6666666666666667,,3.0,,,,,,2.0
27,,,,,,,,,,,
28,1.0,1.0,1.6666666666666667,,3.0,,,,3.3333333333333335,,
29,,,,,,,,,,,
30,1.0,1.0,1.6666666666666667,,3.0,,,,3.3333333333333335,,
31,,,,,,,,,,,
32,1.0,1.0,2.0,,3.3333333333333335,,,,,,
33,,,,,,,,,,,
34,1.0,1.0,1.5,,2.5,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,1.0,1.0,1.5,1.5,2.5,,,,,,1.5
38,,,,,,,,,,,
39,1.0,1.0,1.5,,2.5,,,,,,1.5
40,,,,,,,,,,,
41,,,,,,,,,,,
42,1.0,1.0,1.5,1.5,2.5,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,1.0,1.0,1.5,1.5,2.5,,,,,,1.75
46,,,,,,,,,,,
47,,,,,,,,,,,
48,1.0,1.0,1.5,1.5,2.5,,,,2.5,,1.75
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,1.0,1.0,1.5,,2.5,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,1.0,1.0,1.5,1.5,2.5,,,,2.5,,
56,,,,,,,,,,,
57,1.0,1.0,1.5,,2.5,,,,,,
58,,,,,,,,,,,
59,1.0,1.0,1.5,,2.5,,,,,,1.75
60,,,,,,,,,,,
61,,,,,,,,,,,
62,1.0,1.0,1.2,1.2,2.0,,,,2.0,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,1.0,1.0,1.2,,2.0,,,,,,1.4
67,,,,,,,,,,,
68,1.0,1.0,1.2,,2.0,,,,,,1.4
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,1.0,1.0,1.2,,2.0,,,,,,1.4
74,,,,,,,,,,,
75,1.0,1.0,1.2,,2.0,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,1.0,1.0,1.2,1.2,2.0,,,,2.0,,
79,,,,,,,,,,,
81,,,,,,,,,,,
82,1.0,1.0,1.2,,2.0,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,1.0,1.0,1.2,1.2,2.0,,,,,,
86,,,,,,,,,,,
87,1.0,1.0,1.2,,2.0,,,,2.0,,
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,1.0,1.0,1.5,,2.5,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
96,,,,,,,,,,,
98,,,,,,,,,,,
102,,,,,,,,,,,
